"vin","departed_at","arrived_at","idle_time","departure_coordinates","arrival_coordinates","departure_fuel","arrival_fuel","departure_interior","arrival_interior","trip_id","estimated_distance","estimated_duration","polyline"
"WMEEJ3BA8EK738040",1448385901,1448386201,100800,"0101000020E61000002310AFEB17FC4340BB0F406A13C154C0","0101000020E6100000D0ED258DD1FA4340670A9DD7D8BF54C0",24,24,"GOOD","GOOD",30815,"3.2 mi","7 mins","[[[39.9595406,-82.9973808],[39.9537851,-82.9962759]],[[39.9537851,-82.9962759],[39.95261720000001,-83.0112753]],[[39.95261720000001,-83.0112753],[39.9522161,-83.01281490000001]],[[39.9522161,-83.01281490000001],[39.9537977,-83.0178399]],[[39.9537977,-83.0178399],[39.963679,-83.01976100000002]],[[39.963679,-83.01976100000002],[39.9659056,-83.0199615]],[[39.9659056,-83.0199615],[39.9658467,-83.0151716]],[[39.9658467,-83.0151716],[39.967508,-83.0151032]],[[39.967508,-83.0151032],[39.9671729,-83.0180647]],[[39.9671729,-83.0180647],[39.969031,-83.0187842]]]"
"WMEEJ3BA9DK684455",1448408101,1448409001,12300,"0101000020E6100000282CF180B2FD4340977329AE2AC354C0","0101000020E6100000CD58349D9D0044407D3F355EBAC154C0",100,100,"GOOD","GOOD",32496,"2.8 mi","10 mins","[[[40.0048764,-83.0269938],[40.0049259,-83.0279146]],[[40.0049259,-83.0279146],[40.0045801,-83.0279489]],[[40.0045801,-83.0279489],[40.0033839,-83.0343214]],[[40.0033839,-83.0343214],[39.9978139,-83.0347889]],[[39.9978139,-83.0347889],[39.9988891,-83.0478761]],[[39.9988891,-83.0478761],[39.9890569,-83.04906249999999]],[[39.9890569,-83.04906249999999],[39.9890478,-83.0487706]],[[39.9890478,-83.0487706],[39.9853399,-83.0490702]],[[39.9853399,-83.0490702],[39.98537899999999,-83.050209]],[[39.98537899999999,-83.050209],[39.9821065,-83.0504285]],[[39.9821065,-83.0504285],[39.982072,-83.0494762]]]"
"WMEEJ3BA9DK683709",1448452501,1448454601,4500,"0101000020E610000017D9CEF753FF434097E2AAB2EFC054C0","0101000020E61000002C4833164DFF43407B319413EDC054C0",39,39,"GOOD","GOOD",32487,"82 ft","1 min","[[[39.9945379,-83.01449],[39.9947606,-83.0145302]]]"
"WMEEJ3BA8EK738040",1448282101,1448285101,44400,"0101000020E61000006B7D91D0960344407C2C7DE882C054C0","0101000020E61000002310AFEB17FC4340BB0F406A13C154C0",24,24,"GOOD","GOOD",30814,"7.8 mi","14 mins","[[[39.969031,-83.0187842],[39.9671729,-83.0180647]],[[39.9671729,-83.0180647],[39.967508,-83.0151032]],[[39.967508,-83.0151032],[39.9660944,-83.01483809999999]],[[39.9660944,-83.01483809999999],[39.9671404,-83.0285729]],[[39.9671404,-83.0285729],[39.9679408,-83.02838299999999]],[[39.9679408,-83.02838299999999],[39.9738078,-83.0223164]],[[39.9738078,-83.0223164],[39.9741761,-83.01837359999999]],[[39.9741761,-83.01837359999999],[40.0236402,-83.03583840000002]],[[40.0236402,-83.03583840000002],[40.0287168,-83.03280819999999]],[[40.0287168,-83.03280819999999],[40.0314717,-83.007994]],[[40.0314717,-83.007994],[40.028034,-83.0080344]]]"
"WMEEJ3BA8EK753718",1448454601,1448456701,55800,"0101000020E61000007EC6850321FD4340FBE8D495CFC054C0","0101000020E61000002788BA0F40FA4340BD3AC780ECBB54C0",33,30,"GOOD","GOOD",30902,"6.1 mi","11 mins","[[[39.9550781,-82.9362708],[39.9551574,-82.9362643]],[[39.9551574,-82.9362643],[39.955095,-82.93496999999999]],[[39.955095,-82.93496999999999],[39.9479727,-82.9356336]],[[39.9479727,-82.9356336],[39.9483026,-82.94253719999999]],[[39.9483026,-82.94253719999999],[39.9544148,-82.9756499]],[[39.9544148,-82.9756499],[39.9589885,-82.98253419999999]],[[39.9589885,-82.98253419999999],[39.9628224,-82.9826626]],[[39.9628224,-82.9826626],[39.9689824,-82.9830776]],[[39.9689824,-82.9830776],[39.9718791,-82.98743689999999]],[[39.9718791,-82.98743689999999],[39.9732673,-83.0061975]],[[39.9732673,-83.0061975],[39.9738987,-83.0103614]],[[39.9738987,-83.0103614],[39.9774924,-83.0110967]],[[39.9774924,-83.0110967],[39.977548,-83.0126712]]]"
"WMEEJ3BA8EK748874",1448326201,1448327401,6000,"0101000020E6100000E89FE06245FD4340C364AA6054C054C0","0101000020E6100000D1798D5DA2FE43401A8BA6B393C354C0",27,27,"GOOD","GOOD",30847,"3.2 mi","12 mins","[[[39.9892467,-83.055869],[39.98741,-83.01307039999999]],[[39.98741,-83.01307039999999],[39.9804406,-83.0117144]],[[39.9804406,-83.0117144],[39.98015609999999,-83.00572629999999]],[[39.98015609999999,-83.00572629999999],[39.9786226,-83.00545029999999]],[[39.9786226,-83.00545029999999],[39.978659,-83.0051457]]]"
"WMEEJ3BA8EK748874",1448460601,1448464501,133200,"0101000020E6100000D1798D5DA2FE43401A8BA6B393C354C0","0101000020E6100000ECFA05BB61FF43406DFFCA4A93C054C0",27,100,"GOOD","GOOD",30848,"3.0 mi","11 mins","[[[39.9951732,-83.0090709],[39.9947654,-83.00909829999999]],[[39.9947654,-83.00909829999999],[39.99478879999999,-83.00959979999999]],[[39.99478879999999,-83.00959979999999],[39.9903315,-83.0098965]],[[39.9903315,-83.0098965],[39.991946,-83.05515539999999]],[[39.991946,-83.05515539999999],[39.98922,-83.0552735]],[[39.98922,-83.0552735],[39.9892467,-83.055869]]]"
"WMEEJ3BA8EK753590",1448452201,1448453101,58800,"0101000020E6100000E7FBA9F1D2FD4340C66D3480B7C054C0","0101000020E6100000A06CCA15DEF9434067EDB60BCDBF54C0",100,100,"GOOD","GOOD",30893,"4.2 mi","10 mins","[[[39.9520878,-82.99691229999999],[39.9528319,-82.99703939999999]],[[39.9528319,-82.99703939999999],[39.9527435,-82.9949056]],[[39.9527435,-82.9949056],[39.9529972,-82.9943943]],[[39.9529972,-82.9943943],[39.9539554,-82.99459929999999]],[[39.9539554,-82.99459929999999],[39.9537851,-82.9962759]],[[39.9537851,-82.9962759],[39.95261720000001,-83.0112753]],[[39.95261720000001,-83.0112753],[39.9522161,-83.01281490000001]],[[39.9522161,-83.01281490000001],[39.9537977,-83.0178399]],[[39.9537977,-83.0178399],[39.9644064,-83.0201331]],[[39.9644064,-83.0201331],[39.9720231,-83.0163103]],[[39.9720231,-83.0163103],[39.9724954,-83.00949109999999]],[[39.9724954,-83.00949109999999],[39.98211999999999,-83.0120491]],[[39.98211999999999,-83.0120491],[39.9820814,-83.0112503]],[[39.9820814,-83.0112503],[39.9829987,-83.0111741]]]"
"WMEEJ3BA8EK754013",1448400301,1448401502,162600,"0101000020E6100000265305A392FA4340609335EA21BE54C0","0101000020E6100000AD2F12DA72FA4340C8EF6DFAB3BF54C0",48,48,"UNACCEPTABLE","GOOD",30903,"1.3 mi","5 mins","[[[39.9566361,-82.99536119999999],[39.9566708,-82.9950669]],[[39.9566708,-82.9950669],[39.9581017,-82.9817904]],[[39.9581017,-82.9817904],[39.957858,-82.9708565]],[[39.957858,-82.9708565],[39.9576025,-82.97087619999999]]]"
"WMEEJ3BA8EK753718",1448379301,1448383501,70200,"0101000020E6100000890CAB7823FB43400DA661F888BE54C0","0101000020E61000008F19A88C7FFB4340C03E3A75E5BF54C0",36,33,"GOOD","GOOD",30900,"1.4 mi","6 mins","[[[39.9648256,-82.9984209],[39.9625243,-82.9979602]],[[39.9625243,-82.9979602],[39.9643818,-82.9816498]],[[39.9643818,-82.9816498],[39.9622415,-82.9817125]],[[39.9622415,-82.9817125],[39.96205399999999,-82.977108]]]"
